Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/04/2014,WC,Kansas City Chiefs,44,Indianapolis Colts,45,-2.5,46.5
01/04/2014,WC,New Orleans Saints,26,Philadelphia Eagles,24,3,53
01/05/2014,WC,San Diego Chargers,27,Cincinnati Bengals,10,6,48
01/05/2014,WC,San Francisco 49ers,23,Green Bay Packers,20,-3,46
01/11/2014,DP,New Orleans Saints,15,Seattle Seahawks,23,9,44.5
01/11/2014,DP,Indianapolis Colts,22,New England Patriots,43,7,51
01/12/2014,DP,San Francisco 49ers,23,Carolina Panthers,10,-1,41.5
01/12/2014,DP,San Diego Chargers,17,Denver Broncos,24,7.5,54.5
01/19/2014,CC,New England Patriots,16,Denver Broncos,26,5,57
01/19/2014,CC,San Francisco 49ers,17,Seattle Seahawks,23,4,40.5
02/02/2014,SB,Seattle Seahawks,43,Denver Broncos,8,2.5,48.5
